AgtCnt,Pay,Prem,Exog
29,0.09814814814814815,0.22472000000000003,0.1401457725947522
39,0.47469135802469137,0.20104,0.16193669304456476
27,0.1425925925925926,0.07112,0.02259475218658892
33,0.1728395061728395,0.06824000000000001,0.20941690962099127
17,0.2185185185185185,0.1188,0.040087463556851305
41,0.16358024691358025,0.21896,0.24030403998334027
26,0.3759259259259259,0.05512,0.1499416909620991
43,0.304320987654321,0.14856000000000003,0.22630987088713037
31,0.08395061728395062,0.10664000000000001,0.09186588921282797
13,0.12222222222222222,0.22760000000000002,0.1716326530612245
36,0.3024691358024691,0.10344,0.10725947521865889
40,0.441358024691358,0.24904000000000004,0.13254893794252393
49,0.45123456790123456,0.24136000000000002,0.14934194085797584
18,0.4685185185185185,0.20680000000000004,0.011399416909620992
45,0.2265432098765432,0.15816,0.045785089546022485
25,0.18703703703703706,0.10952,0.17373177842565596
17,0.30185185185185187,0.19080000000000003,0.17233236151603498
24,0.4703703703703703,0.21352,0.16883381924198249
33,0.27283950617283953,0.18024,0.14084548104956268
36,0.19506172839506175,0.12584,0.2346064139941691
40,0.491358024691358,0.13096000000000002,0.2354060807996668
18,0.1685185185185185,0.12680000000000002,0.21151603498542274
35,0.09506172839506173,0.07784,0.028892128279883376
35,0.32839506172839505,0.18984,0.19542274052478134
49,0.25123456790123455,0.08136,0.0121990837151187
27,0.21481481481481485,0.15912000000000004,0.027492711370262393
23,0.1962962962962963,0.21992,0.18842565597667638
12,0.25555555555555554,0.09960000000000001,0.13244897959183674
18,0.13518518518518519,0.13640000000000002,0.14854227405247813
15,0.31111111111111106,0.10920000000000002,0.1870262390670554
45,0.3598765432098765,0.22216000000000002,0.040187421907538524
19,0.3074074074074074,0.0804,0.12405247813411077
31,0.13395061728395063,0.22664,0.19472303206997085
30,0.10061728395061728,0.12872,0.04778425655976676
11,0.3666666666666667,0.10600000000000001,0.1520408163265306
14,0.3888888888888889,0.16360000000000002,0.21081632653061225
26,0.07592592592592592,0.20551999999999998,0.08137026239067055
29,0.48148148148148145,0.18472,0.10586005830903789
20,0.324074074074074,0.2484,0.19752186588921283
14,0.3611111111111111,0.10120000000000001,0.015597667638483966
48,0.09876543209876543,0.13736,0.07027488546438983
44,0.05987654320987655,0.14216,0.2067180341524365
39,0.37469135802469133,0.15304,0.19132444814660557
11,0.31666666666666665,0.114,0.0883673469387755
39,0.27469135802469136,0.23304000000000002,0.024793835901707622
42,0.35432098765432096,0.14056000000000002,0.05488129945855893
35,0.37839506172839504,0.18184,0.02399416909620991
25,0.13703703703703704,0.18152000000000001,0.07087463556851312
32,0.4061728395061728,0.05224,0.10166180758017491
41,0.2802469135802469,0.11496,0.24520199916701374
16,0.09444444444444444,0.1652,0.09396501457725946
35,0.42839506172839503,0.10984000000000001,0.12685131195335278
11,0.11666666666666667,0.14600000000000002,0.1863265306122449
32,0.10617283950617284,0.20264,0.033090379008746354
43,0.27098765432098765,0.19656,0.19692211578508953
15,0.4111111111111111,0.2212,0.11845481049562681
12,0.23333333333333334,0.23400000000000004,0.19122448979591838
38,0.058024691358024696,0.09704000000000002,0.04928363182007497
41,0.2302469135802469,0.18696000000000002,0.14234485630987087
41,0.4135802469135802,0.17896,0.206018325697626
24,0.45370370370370366,0.08392,0.09536443148688047
36,0.35246913580246914,0.09544000000000001,0.170932944606414
22,0.17962962962962964,0.05192,0.11495626822157433
21,0.3407407407407408,0.17831999999999998,0.03588921282798834
33,0.3228395061728395,0.10824,0.24370262390670555
32,0.05617283950617284,0.08264,0.16533527696793002
47,0.23209876543209879,0.23976000000000003,0.03109121199500208
15,0.12777777777777777,0.11720000000000001,0.12335276967930027
27,0.36481481481481476,0.19912000000000002,0.06177842565597668
18,0.08518518518518518,0.24680000000000002,0.04568513119533528
16,0.34444444444444444,0.21480000000000005,0.09886297376093292
15,0.2611111111111111,0.18120000000000003,0.08416909620991253
35,0.478395061728395,0.22984,0.22970845481049562
19,0.20740740740740737,0.22440000000000004,0.1534402332361516
11,0.26666666666666666,0.186,0.2206122448979592
25,0.25925925925925924,0.19752000000000003,0.17862973760932943
39,0.22469135802469137,0.11304000000000002,0.1570387338608913
47,0.08209876543209876,0.19976,0.2319075385256143
23,0.4462962962962963,0.17992000000000002,0.1541399416909621
26,0.2759259259259259,0.13512000000000002,0.21851311953352767
29,0.19814814814814813,0.08072,0.11075801749271136
42,0.49691358024691357,0.21256000000000003,0.1871261974177426
43,0.254320987654321,0.22056000000000003,0.12345272802998748
28,0.3814814814814815,0.13672,0.13524781341107872
14,0.4722222222222222,0.23560000000000003,0.10795918367346938
24,0.27037037037037037,0.053520000000000005,0.031690962099125364
15,0.3777777777777777,0.0772,0.08906705539358599
23,0.10370370370370371,0.07592,0.15903790087463557
34,0.2617283950617284,0.09384,0.019096209912536445
20,0.4407407407407407,0.09832,0.2024198250728863
30,0.45061728395061723,0.09064000000000001,0.2192128279883382
28,0.46481481481481485,0.24712,0.03239067055393586
14,0.08888888888888889,0.08360000000000001,0.14224489795918366
26,0.17592592592592593,0.21512000000000003,0.051982507288629735
31,0.18395061728395062,0.15464,0.06247813411078717
10,0.39999999999999997,0.058,0.18142857142857144
